地区	大学	高中	初中	小学
	（大专及以上）	（含中专）		
苏州市	22514	16813	32753	19614
张家港市	18568	14980	36249	22461
常熟市	17232	14160	41482	20634
太仓市	16950	14416	38386	22098
昆山市	22119	20896	30376	17970
吴江区	15664	14927	37026	23376
吴中区	22914	17505	31011	19360
相城区	20121	14277	34108	22207
姑苏区	32314	20885	26292	13835
工业园区	37722	17271	20557	15489
高新区、虎丘区	29508	17350	26816	17021

表5-1?各地区每10万人口中拥有的各类受教育程度人数 单位：人/10万人
